age,employee_turnover,business_travel_frequency,daily_rate,distance_from_home_km,education_level,education_field,remove_column,employee_id,environmental_satisfaction_level,gender,hourly_rate,job_involvement_level,job_level,job_role,job_satisfaction_level,marital_status,monthly_income,monthly_rate,num_companies_worked,over_18,overtime_hours,percent_salary_hike,performance_rating,relationship_satisfaction_level,standard_work_hours,stock_option_level,total_years_worked,training_sessions_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_current_manager,same_as_monthly_income,birth_year,annual_salary,remote_work
51,no,nan,2015.72,6.0,3,nan,1,1,1.0,male,,3,5,research director,3,nan,16280.83,42330.17,7,,no,13,3.0,3,full time,0,,5,3.0,20,15,15,16280.83,1972,195370.0,yes
52,no,nan,2063.39,1.0,4,life sciences,1,2,3.0,male,,2,5,manager,3,nan,,43331.17,0,,,14,3.0,1,nan,1,34.0,5,3.0,33,11,9,,1971,199990.0,yes
42,no,travel_rarely,1984.25,4.0,2,technical degree,1,3,3.0,male,,3,5,manager,4,married,,41669.33,1,,no,11,3.0,4,nan,0,22.0,3,,22,11,15,,1981,192320.0,yes
47,no,travel_rarely,1771.4,2.0,4,medical,1,4,1.0,female,,3,4,research director,3,married,14307.5,37199.5,3,,,19,3.0,2,full time,2,,2,,20,5,6,14307.5,1976,171690.0,no
46,no,nan,1582.77,3.0,3,technical degree,1,5,1.0,female,,4,4,sales executive,1,divorced,12783.92,33238.2,2,,no,12,3.0,4,nan,1,,5,3.0,19,2,8,12783.92,1977,,no
48,no,nan,1771.92,22.0,3,medical,1,6,4.0,female,,3,4,manager,4,nan,14311.67,37210.33,3,,no,11,3.0,2,nan,1,,3,3.0,22,4,7,14311.67,1975,,yes
59,no,nan,1032.49,25.0,3,life sciences,1,7,1.0,female,,3,3,sales executive,1,nan,8339.32,21682.23,7,,,11,3.0,4,part time,0,28.0,3,2.0,21,7,9,8339.32,1964,100071.84,yes
42,no,travel_rarely,556.26,1.0,1,nan,1,8,2.0,male,69.53,3,2,sales executive,3,married,,11681.39,1,,no,25,4.0,3,part time,0,20.0,3,3.0,20,11,6,,1981,53914.11,no
41,no,nan,1712.18,2.0,5,nan,1,9,2.0,female,,3,4,manager,1,married,13829.17,35955.83,7,,no,16,3.0,2,full time,1,22.0,2,3.0,18,11,8,13829.17,1982,165950.0,yes
41,no,travel_frequently,1973.98,9.0,3,nan,1,10,1.0,male,,3,5,research director,3,nan,15943.72,41453.67,2,,no,17,3.0,2,nan,1,21.0,2,4.0,18,0,11,15943.72,1982,,no
41,no,non-travel,2060.71,7.0,1,nan,1,11,2.0,female,,1,5,research director,3,nan,16644.17,43274.83,1,,no,22,4.0,2,full time,2,,3,3.0,21,5,10,16644.17,1982,199730.0,no
56,no,travel_rarely,1382.75,23.0,3,life sciences,1,12,4.0,male,172.84,3,4,manufacturing director,2,married,,29037.67,4,,yes,12,,1,full time,1,33.0,0,3.0,19,15,9,,1967,134020.0,no
38,no,nan,1362.52,10.0,3,medical,1,13,2.0,female,,1,3,research director,3,married,,28613.0,3,,no,12,3.0,1,full time,1,,3,3.0,18,1,11,,1985,132060.0,yes
41,yes,travel_rarely,2016.55,12.0,3,nan,1,14,2.0,female,,3,5,research director,3,married,,42347.5,1,,no,12,3.0,4,full time,0,,0,3.0,22,15,8,,1982,195450.0,no
55,no,nan,1973.98,14.0,4,medical,1,15,3.0,male,,4,5,research director,2,single,15943.72,41453.67,8,,no,11,3.0,4,nan,0,,3,3.0,24,2,15,15943.72,1968,,yes
40,no,travel_rarely,1861.37,2.0,4,nan,1,16,3.0,female,,3,5,manager,3,nan,15034.17,39088.83,0,,no,14,3.0,4,full time,0,,2,3.0,20,1,12,15034.17,1983,180410.0,no
58,yes,travel_rarely,1985.7,2.0,4,nan,1,17,4.0,male,,3,5,research director,2,single,16038.33,41699.67,7,,yes,12,3.0,4,full time,0,40.0,2,3.0,31,13,8,16038.33,1965,192460.0,no
46,no,travel_rarely,1582.77,2.0,3,nan,1,18,3.0,female,,3,4,manager,1,nan,12783.92,33238.2,8,,,23,4.0,1,nan,0,28.0,2,3.0,26,15,9,12783.92,1977,,no
35,no,nan,556.26,,5,life sciences,1,19,2.0,male,,4,2,research scientist,1,married,4492.84,11681.39,1,,,11,3.0,4,nan,0,,2,3.0,16,1,10,4492.84,1988,,no
40,no,travel_rarely,1032.49,15.0,3,life sciences,1,20,1.0,female,,2,3,manufacturing director,3,nan,8339.32,21682.23,1,,,13,3.0,4,nan,2,18.0,2,,18,14,12,8339.32,1983,,yes
45,no,non-travel,1108.92,1.0,1,nan,1,21,3.0,male,,2,3,healthcare representative,3,nan,8956.67,23287.33,3,,,23,4.0,4,full time,1,25.0,3,2.0,23,14,4,8956.67,1978,107480.0,no
33,no,nan,1032.49,1.0,2,life sciences,1,22,1.0,female,,3,3,research director,4,single,,21682.23,1,,yes,12,3.0,3,part time,0,15.0,1,3.0,15,8,12,,1990,100071.84,yes
36,no,nan,1032.49,8.0,3,nan,1,23,3.0,female,,3,3,healthcare representative,3,divorced,,21682.23,1,,,13,,2,nan,3,17.0,2,3.0,17,12,8,,1987,100071.84,yes
47,no,nan,1728.38,2.0,2,other,1,24,3.0,female,216.05,3,4,manager,4,married,,36296.0,1,,,11,3.0,3,full time,1,,3,2.0,26,3,0,,1976,167520.0,no
36,no,travel_rarely,639.79,,2,life sciences,1,25,,male,79.97,3,2,sales executive,4,nan,5167.5,13435.5,1,,,14,3.0,4,full time,1,18.0,1,,18,4,11,5167.5,1987,62010.0,yes
35,no,nan,1032.49,9.0,3,life sciences,1,26,4.0,female,129.06,2,3,manufacturing director,3,married,,21682.23,1,,yes,20,4.0,2,part time,1,17.0,2,3.0,17,5,15,,1988,100071.84,no
52,yes,nan,2047.5,2.0,1,nan,1,27,1.0,female,,1,5,manager,4,married,,42997.5,1,,no,15,3.0,4,full time,1,33.0,3,3.0,32,6,9,,1971,198450.0,yes
36,no,nan,556.26,2.0,4,life sciences,1,28,3.0,female,,3,2,manufacturing director,2,single,4492.84,11681.39,9,,yes,11,3.0,4,nan,0,18.0,2,3.0,16,5,12,4492.84,1987,53914.11,no
33,no,travel_rarely,556.26,28.0,4,life sciences,1,29,2.0,male,69.53,3,2,laboratory technician,3,married,4492.84,11681.39,1,,,12,3.0,2,part time,1,15.0,3,3.0,15,5,7,4492.84,1990,53914.11,yes
34,no,non-travel,412.8,10.0,3,life sciences,1,30,4.0,male,,3,2,sales executive,3,nan,3334.17,8668.83,1,,yes,14,3.0,3,part time,1,15.0,3,3.0,15,0,7,3334.17,1989,40010.0,yes
41,no,nan,1077.87,,1,nan,1,31,,female,,3,3,sales executive,3,divorced,8705.83,22635.17,0,,,13,3.0,4,full time,1,,3,4.0,22,13,5,8705.83,1982,104470.0,yes
